row_id,zone,acreage,cluster_zone,residential,full_address,geocode_score,geocode_precision,latitude,longitude
111,0.15,R-3MP,,N,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
112,0,R-3MP,,N,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
113,0.24,R-3MP,,N,"29 Alexander Street,Princeton,NJ",2,Parcel,40.34567082,-74.66345399
114,0.16,R-3MP,,N,"27 Alexander Street,Princeton,NJ",2,Parcel,40.34576176,-74.66365386
115,0.09,R-3MP,,N,"17 Alexander Street,Princeton,NJ",0.965,range,40.346267,-74.663972
116,0.16,R-3MP,,N,"25 Alexander Street,Princeton,NJ",0.965,range,40.346097,-74.663685
117,0.1,E-4MP,,N,"11 Alexander Street,Princeton,NJ",2,Parcel,40.34609454,-74.66409736
120,0.24,R-3MP,,N,"19 Alexander Street,Princeton,NJ",0.965,range,40.346224,-74.663901
121,0.09,R-3MP,,N,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
122,0.15,R-3MP,,N,"16 Alexander Street,Princeton,NJ",2,Parcel,40.34649324,-74.66344094
123,0.18,R-3MP,,N,"20 Alexander Street,Princeton,NJ",2,Parcel,40.34627245,-74.66339948
124,0.13,R-3MP,,N,"22 Alexander Street,Princeton,NJ",0.965,range,40.346182,-74.663829
126,0.21,R-3MP,,N,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
129,0.16,R-3,,N,"75 Alexander Street,Princeton,NJ",0.868,street,40.34415,-74.661781
130,1.53,R-3,,N,"79 Alexander Street,Princeton,NJ",2,Parcel,40.34342217,-74.66200249
131,0.52,R-3,,N,"99 Alexander Street,Princeton,NJ",2,Parcel,40.34285337,-74.66158549
133,1.83,NB,,N,"115 Alexander Street,Princeton,NJ",2,Parcel,40.3424585,-74.66127755
134,0,R-3,,N,"69 Alexander Street,Princeton,NJ",2,Parcel,40.34398988,-74.66224574
135,0.13,R-3,,N,"76 Alexander Street,Princeton,NJ",2,Parcel,40.34398,-74.66123997
136,0.13,R-3,,N,"74 Alexander Street,Princeton,NJ",2,Parcel,40.34408028,-74.6613179
137,0.15,R-3,,N,"80 Alexander Street,Princeton,NJ",0.92,range,40.343833,-74.661593
138,0.14,R-3,,N,"84 Alexander Street,Princeton,NJ",2,Parcel,40.34365512,-74.66102471
139,0.17,R-3,,N,"70 Alexander Street,Princeton,NJ",0.868,street,40.344331,-74.661889
141,0.04,NB,,N,"108 Alexander Street,Princeton,NJ",2,Parcel,40.34275988,-74.66045278
142,0.07,NB,,N,"106 Alexander Street,Princeton,NJ",2,Parcel,40.34285416,-74.66052635
144,R2,1.5,,Y,"08 All Saints Road,Princeton,NJ",3,StreetSegmentInterpolation,40.37230404,-74.64328516
145,R2,1.91,,Y,"77 All Saints Road,Princeton,NJ",2,Parcel,40.37555766,-74.64332675
146,R2,1.5,,Y,"63 All Saints Road,Princeton,NJ",0.965,range,40.373864,-74.643716
147,R2,1.55,,Y,"57 All Saints Road,Princeton,NJ",0.965,range,40.373716,-74.643916
148,R2,1.62,,Y,"42 All Saints Road,Princeton,NJ",0.965,range,40.373297,-74.643747
149,R2,1.5,,Y,"41 All Saints Road,Princeton,NJ",2,Parcel,40.3735762,-74.64336273
150,R2,1.5,,Y,"23 All Saints Road,Princeton,NJ",0.965,range,40.372755,-74.64343
151,R2,1.51,,Y,"26 All Saints Road,Princeton,NJ",2,Parcel,40.37414117,-74.64418888
152,0.61,R-1,,N,"33 Allison Road,Princeton,NJ",0.965,range,40.346673,-74.672117
153,1.17,R-1,,N,"74 Allison Road,Princeton,NJ",2,Parcel,40.34581351,-74.67247971
154,0.65,R-1,,N,"42 Allison Road,Princeton,NJ",0.965,range,40.346495,-74.672295
155,0.65,R-1,,N,"50 Allison Road,Princeton,NJ",0.965,range,40.34633,-74.672459
156,0.61,R-1,,N,"41 Allison Road,Princeton,NJ",0.965,range,40.346512,-74.672278
157,0.61,R-1,,N,"65 Allison Road,Princeton,NJ",0.965,range,40.346028,-74.673015
158,0.61,R-1,,N,"73 Allison Road,Princeton,NJ",2,Parcel,40.34645148,-74.67327669
159,0.63,R-1,,N,"83 Allison Road,Princeton,NJ",0.965,range,40.34571,-74.673514
161,0.49,R-1,,N,"94 Allison Road,Princeton,NJ",2,Parcel,40.34545261,-74.67354318
162,0.61,R-1,,N,"49 Allison Road,Princeton,NJ",0.965,range,40.34635,-74.672439
163,0.78,R-1,,N,"58 Allison Road,Princeton,NJ",0.965,range,40.346165,-74.672624
164,0.89,R-1,,N,"84 Allison Road,Princeton,NJ",0.965,range,40.345683,-74.673555
165,0.72,R-1,,N,"34 Allison Road,Princeton,NJ",0.965,range,40.34666,-74.672131
166,CLU,0.6,Andrews-Foulet,N,"03 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36453727,-74.66758952
168,CLU,0.6,Andrews-Foulet,N,"21 Andrews Lane,Princeton,NJ",0.965,range,40.368516,-74.665806
169,CLU,0.81,Andrews-Foulet,N,"23 Andrews Lane,Princeton,NJ",2,Parcel,40.36772987,-74.66561894
170,CLU,0.59,Andrews-Foulet,N,"05 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36458761,-74.66747709
171,CLU,0.6,Andrews-Foulet,N,"10 Andrews Lane,Princeton,NJ",2,Parcel,40.36557317,-74.66705951
172,CLU,0.62,Andrews-Foulet,N,"02 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36452541,-74.66787742
173,CLU,0.6,Andrews-Foulet,N,"12 Andrews Lane,Princeton,NJ",0.965,range,40.366345,-74.666629
175,CLU,0.6,Andrews-Foulet,N,"09 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36468849,-74.66725236
177,CLU,0.6,Andrews-Foulet,N,"06 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36462004,-74.66764946
180,CLU,0.6,Andrews-Foulet,N,"17 Andrews Lane,Princeton,NJ",2,Parcel,40.36655626,-74.66617505
181,CLU,0.6,Andrews-Foulet,N,"18 Andrews Lane,Princeton,NJ",0.965,range,40.367632,-74.666028
183,CLU,0.6,Andrews-Foulet,N,"20 Andrews Lane,Princeton,NJ",0.965,range,40.368071,-74.665889
184,CLU,0.6,Andrews-Foulet,N,"07 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36463802,-74.66736471
186,0.92,R-1,,N,"36 Armour Road,Princeton,NJ",2,Parcel,40.34421099,-74.67141391
187,0.98,R-1,,N,"44 Armour Road,Princeton,NJ",0.965,range,40.344987,-74.671064
190,R-1,0.67,,Y,"24 Armour Road,Princeton,NJ",0.965,range,40.345397,-74.670653
194,R-1,1.03,,Y,"55 Armour Road,Princeton,NJ",0.965,range,40.344761,-74.671601
